ScanningMode	2Theta
ScanningType	Continuos Scanning
X-Ray	40kV/40mA
DivSlit	3.0mm
DivH.L.Slit	10mm
SctSlit	open
RecSlit	open
Start	114
Stop	119
Step	0.01
114	83053
114.01	82562
114.02	82323
114.03	82870
114.04	83134
114.05	83118
114.06	82322
114.07	82534
114.08	83037
114.09	82692
114.1	83001
114.11	82857
114.12	83146
114.13	82806
114.14	83115
114.15	83105
114.16	82630
114.17	82635
114.18	82781
114.19	82639
114.2	82756
114.21	82538
114.22	83036
114.23	82972
114.24	83254
114.25	83035
114.26	82820
114.27	82753
114.28	83598
114.29	82901
114.3	82814
114.31	83210
114.32	83203
114.33	83012
114.34	83410
114.35	83188
114.36	82910
114.37	83416
114.38	82459
114.39	83342
114.4	82991
114.41	83058
114.42	82901
114.43	83077
114.44	82973
114.45	83205
114.46	82910
114.47	83442
114.48	82960
114.49	83011
114.5	83256
114.51	83268
114.52	82765
114.53	82642
114.54	82848
114.55	83165
114.56	83285
114.57	83309
114.58	83237
114.59	82887
114.6	82287
114.61	83189
114.62	83977
114.63	83020
114.64	82897
114.65	82989
114.66	82749
114.67	82701
114.68	83024
114.69	82938
114.7	83168
114.71	83075
114.72	83417
114.73	83306
114.74	83187
114.75	82948
114.76	83336
114.77	83078
114.78	83169
114.79	83183
114.8	82796
114.81	82829
114.82	82511
114.83	82951
114.84	83271
114.85	83210
114.86	83341
114.87	83136
114.88	82790
114.89	83607
114.9	82983
114.91	83315
114.92	83232
114.93	82985
114.94	83029
114.95	83297
114.96	83030
114.97	83237
114.98	82772
114.99	83388
115	83152
115.01	82941
115.02	83151
115.03	83256
115.04	83887
115.05	83656
115.06	83475
115.07	82567
115.08	83291
115.09	83571
115.1	83434
115.11	83560
115.12	83706
115.13	83398
115.14	83151
115.15	83965
115.16	83704
115.17	83161
115.18	83280
115.19	83476
115.2	83646
115.21	83475
115.22	83235
115.23	83675
115.24	83999
115.25	83479
115.26	83975
115.27	83674
115.28	84268
115.29	84149
115.3	83975
115.31	84248
115.32	83856
115.33	83660
